Spell Lists																																							Spell Properties														Books				Free PDFs								
Bard	Cleric	Arcana	City	Death	Knowledge	Life	Light	Nature	Tempest	Trickery	War	Druid	Arctic	Coast	Desert	Forest	Grassland	Mountain	Swamp	Underdark	Paladin	Ancients	Crown	Devotion	Oathbreaker	Vengeance	Ranger	DStalker	Sorcerer	Storm	Warlock	Archfey	Fiend	GitM	GOO	Undying	ULight	Wizard	Spell	SRD Spell Name (where different)	Level	School	Techno	Ritual	Casting Time	Range	V	S	M	GP	Conc	Duration	PHB	SSR	POA	SCAG	Basic	SRD	HDQ	ROT	EEC	POA	DDEN2	DDEX2	UA
1								1				1															1												Animal Friendship		1	Enchantment	0	0	1 action	30 feet	1	1	1	0	0	24 hours	212						23			39			
																															1								Armor of Agathys		1	Abjuration	0	0	1 action	Self	1	1	1	0	0	1 hour	215									40			
																															1								Arms of Hadar		1	Conjuration	0	0	1 action	Self (10-foot radius)	1	1	0		0	Instantaneous	215												
1	1																									1													Bane		1	Enchantment	0	0	1 action	30 feet	1	1	1	0	1	Up to 1 minute	216					120				40			
												1															1												Beast Bond		1	Divination	0	0	1 action	Touch	1	1	1	0	1	Up to 10 minutes			233						15		34		
	1					1															1																		Bless		1	Enchantment	0	0	1 action	30 feet	1	1	1	0	1	Up to 1 minute	219	24			85	122							
							1																						1				1				1	1	Burning Hands		1	Evocation	0	0	1 action	Self (15-foot cone)	1	1	0		0	Instantaneous	220	24			85	123							
																													1									1	Catapult		1	Transmutation	0	0	1 action	150 feet	0	1	0		0	Instantaneous			233						15				
1										1		1																	1		1							1	Charm Person		1	Enchantment	0	0	1 action	30 feet	1	1	0		0	1 hour	221	24			85	123							
																													1									1	Chromatic Orb		1	Evocation	0	0	1 action	90 feet	1	1	1	50	0	Instantaneous	221						23	31		41			
																													1									1	Color Spray		1	Illusion	0	0	1 action	Self (15-foot cone)	1	1	1	0	0	1 round	222					125	24	31		41			
	1				1																1		1										1						Command		1	Enchantment	0	0	1 action	60 feet	1	0	0		0	1 round	223	25			85	125							
																					1		1																Compelled Duel		1	Enchantment	0	0	1 bonus action	30 feet	1	0	0		1	Up to 1 minute	224												
1			1																										1		1							1	Comprehend Languages		1	Divination	0	1	1 action	Self	1	1	1	0	0	1 hour	224	25			86	126							
	1											1																											Create or Destroy Water		1	Transmutation	0	0	1 action	30 feet	1	1	1	0	0	Instantaneous	229					131							
1	1					1						1									1						1												Cure Wounds		1	Evocation	0	0	1 action	Touch	1	1	0		0	Instantaneous	230	25			86	132							
	1																				1																		Detect Evil and Good		1	Divination	0	0	1 action	Self	1	1	0		1	Up to 10 minutes	231					133	24			44			
1	1	1										1									1						1		1									1	Detect Magic		1	Divination	0	1	1 action	Self	1	1	0		1	Up to 10 minutes	231	26			87	134							
	1											1									1						1												Detect Poison and Disease		1	Divination	0	1	1 action	Self	1	1	1	0	1	Up to 10 minutes	231					134							
1										1																		1	1									1	Disguise Self		1	Illusion	0	0	1 action	Self	1	1	0		0	1 hour	233				87	135							
1																																			1				Dissonant Whispers		1	Enchantment	0	0	1 action	60 feet	1	0	0		0	Instantaneous	234									44			
											1										1																		Divine Favor		1	Evocation	0	0	1 bonus action	Self	1	1	0		1	Up to 1 minute	234					136							
1												1																	1									1	Earth Tremor		1	Evocation	0	0	1 action	Self (10-foot radius)	1	1	0		0	Instantaneous			235						17		48		
																						1					1												Ensnaring Strike		1	Conjuration	0	0	1 bonus action	Self	1	0	0		1	Up to 1 minute	237												
												1																											Entangle		1	Conjuration	0	0	1 action	90 feet	1	1	0		1	Up to 1 minute	238					139	25			45			
																													1		1							1	Expeditious Retreat		1	Transmutation	0	0	1 bonus action	Self	1	1	0		1	Up to 10 minutes	238					140				46			
1							1					1																				1							Faerie Fire		1	Evocation	0	0	1 action	60 feet	1	0	0		1	Up to 1 minute	239				90	140							
				1																									1							1		1	False Life		1	Necromancy	0	0	1 action	Self	1	1	1	0	0	1 hour	239					141				46			
1																													1									1	Feather Fall		1	Transmutation	0	0	1 reaction	60 feet	1	0	1	0	0	1 minute	239					141	25	33		46			
																																						1	Find Familiar		1	Conjuration	0	1	1 hour	10 feet	1	1	1	10	0	Instantaneous	240												
									1			1															1		1	1								1	Fog Cloud		1	Conjuration	0	0	1 action	120 feet	1	1	0		1	Up to 1 hour	243					144	25			47			
												1															1												Goodberry		1	Transmutation	0	0	1 action	Touch	1	1	1	0	0	Instantaneous	246												
																																						1	Grease		1	Conjuration	0	0	1 action	60 feet	1	1	1	0	0	1 minute	246					148							
	1																																						Guiding Bolt		1	Evocation	0	0	1 action	120 feet	1	1	0		0	1 round	248	26			92	149							
																											1												Hail of Thorns		1	Conjuration	0	0	1 bonus action	Self	1	0	0		1	Up to 1 minute	249												
1	1											1																											Healing Word		1	Evocation	0	0	1 bonus action	60 feet	1	0	0		0	Instantaneous	250	26			93	151							
																									1						1								Hellish Rebuke		1	Evocation	0	0	1 reaction	60 feet	1	1	0		0	Instantaneous	250									48			
1																					1																		Heroism		1	Enchantment	0	0	1 action	Touch	1	1	0		1	Up to 1 minute	250					152							
																															1								Hex		1	Enchantment	0	0	1 bonus action	90 feet	1	1	1	0	1	Up to 1 hour	251									49			
																										1	1												Hunter's Mark		1	Divination	0	0	1 bonus action	90 feet	1	0	0		1	Up to 1 hour	251												
												1																	1									1	Ice Knife		1	Conjuration	0	0	1 action	60 feet	0	1	1	0	0	Instantaneous			237						19		51	"3:26, 8:19, 12:21"	
1					1																																	1	Identify		1	Divination	0	1	1 minute	Touch	1	1	1	100	0	Instantaneous	252	27			94	153							
1																															1							1	Illusory Script		1	Illusion	0	1	1 minute	Touch	0	1	1	10	0	10 days	252					153							
																																		1					Infallible Relay		1	Divination	1	0	1 minute	Self	1	1	1	0	1	Up to 10 minutes													7:7
	1																								1														Inflict Wounds		1	Necromancy	0	0	1 action	Touch	1	1	0		0	Instantaneous	253	27			94	154							
												1															1		1									1	Jump		1	Transmutation	0	0	1 action	Touch	1	1	1	0	0	1 minute	254					155				49			
1												1															1											1	Longstrider		1	Transmutation	0	0	1 action	Touch	1	1	1	0	0	1 hour	256					157	26			49			
																													1									1	Mage Armor		1	Abjuration	0	0	1 action	Touch	1	1	1	0	0	8 hours	256	27			96	157							
		1																											1									1	Magic Missile		1	Evocation	0	0	1 action	120 feet	1	1	0		0	Instantaneous	257	28			96	158							
	1																				1			1							1							1	Protection from Evil and Good		1	Abjuration	0	0	1 action	Touch	1	1	1	0	1	Up to 10 minutes	270					170							
	1											1									1																		Purify Food and Drink		1	Transmutation	0	1	1 action	10 feet	1	1	0		0	Instantaneous	270					171							
				1																									1							1		1	Ray of Sickness		1	Necromancy	0	0	1 action	60 feet	1	1	0		0	Instantaneous	271												
			1																															1					Remote Access		1	Transmutation	1	0	1 action	120 feet	1	1	0		0	10 minutes													7:8
	1																							1															Sanctuary		1	Abjuration	0	0	1 bonus action	30 feet	1	1	1	0	0	1 minute	272	29			100	173							
																					1																		Searing Smite		1	Evocation	0	0	1 bonus action	Self	1	0	0		1	Up to 1 minute	274												
																													1									1	Shield		1	Abjuration	0	0	1 reaction	Self	1	1	0		0	1 round	275	29			100	176							
	1										1										1																		Shield of Faith		1	Abjuration	0	0	1 bonus action	60 feet	1	1	1	0	1	Up to 10 minutes	275	29			100	176							
1																													1									1	Silent Image		1	Illusion	0	0	1 action	60 feet	1	1	1	0	0	1 minute	276				101	177							
1																													1			1						1	Sleep		1	Enchantment	0	0	1 action	90 feet	1	1	1	0	0	1 minute	276	29			101	177							
1								1				1										1					1												Speak with Animals		1	Divination	0	1	1 action	Self	1	1	0		0	10 minutes	277					178		37		53			
1																																			1			1	Tasha's Hideous Laughter	Hideous Laughter	1	Enchantment	0	0	1 action	30 feet	1	1	1	0	1	Up to 1 minute	280					152							
																																						1	Tenser's Floating Disk	Floating Disk	1	Conjuration	0	1	1 action	30 feet	1	1	1	0	0	1 hour	282					144							
																					1																		Thunderous Smite		1	Evocation	0	0	1 bonus action	Self	1	0	0		1	Up to 1 minute	282												
1									1			1																	1	1								1	Thunderwave		1	Evocation	0	0	1 action	Self (15-foot cube)	1	1	0		0	Instantaneous	282	30			103	184							
1																															1							1	Unseen Servant		1	Conjuration	0	1	1 action	60 feet	1	1	1	0	0	1 hour	284					186							
																													1		1							1	Witch Bolt		1	Evocation	0	0	1 action	30 feet	1	1	1	0	1	Up to 1 minute	289									55			
																					1																		Wrathful Smite		1	Evocation	0	0	1 bonus action	Self	1	0	0		1	Up to 1 minute	289												
																													1									1	Aganazzar's Scorcher		2	Evocation	0	0	1 action	30 feet	1	1	1	0	0	Instantaneous			233						15				
	1																				1																		Aid		2	Abjuration	0	0	1 action	30 feet	1	1	1	0	0	8 hours	211	24			83	114							
																													1									1	Alter Self		2	Transmutation	0	0	1 action	Self	1	1	0		1	Up to 1 hour	211					114				39			
1												1															1												Animal Messenger		2	Enchantment	0	1	1 action	30 feet	1	1	1	0	0	24 hours	212					115		30		39			
																																		1					Arcane Hacking		2	Transmutation	1	0	1 action	Self	1	1	1	0	1	Up to 1 hour													7:5
																																						1	Arcane Lock		2	Abjuration	0	0	1 action	Touch	1	1	1	25	0	Until dispelled	215				83	118							
	1				1																																		Augury		2	Divination	0	1	1 minute	Self	1	1	1	25	0	Instantaneous	215	24			84	120							
								1				1				1											1												Barkskin		2	Transmutation	0	0	1 action	Touch	1	1	1	0	1	Up to 1 hour	217					121	23			40			
												1															1												Beast Sense		2	Divination	0	1	1 action	Touch	0	1	0		1	Up to 1 hour	217						23						
1	1			1																									1				1			1		1	Blindness/Deafness		2	Necromancy	0	0	1 action	30 feet	1	0	0		0	1 minute	219					122	23			41			
															1														1									1	Blur		2	Illusion	0	0	1 action	Self	1	0	0		1	Up to 1 minute	219	24			85	122							
																					1																		Branding Smite		2	Evocation	0	0	1 bonus action	Self	1	0	0		1	Up to 1 minute	219												
1	1																															1							Calm Emotions		2	Enchantment	0	0	1 action	60 feet	1	1	0		1	Up to 1 minute	221					123	23						
1																													1		1							1	Cloud of Daggers		2	Conjuration	0	0	1 action	60 feet	1	1	1	0	1	Up to 1 minute	222							31					
	1																																					1	Continual Flame		2	Evocation	0	0	1 action	Touch	1	1	1	50	0	Until dispelled	227					129		32		42			
																											1												Cordon of Arrows		2	Transmutation	0	0	1 action	5 feet	1	1	1	0	0	8 hours	228												
1																									1				1		1							1	Crown of Madness		2	Enchantment	0	0	1 action	120 feet	1	1	0		1	Up to 1 minute	229												
																			1						1				1		1							1	Darkness		2	Evocation	0	0	1 action	60 feet	1	0	1	0	1	Up to 10 minutes	230	25			86	132							
												1															1		1									1	Darkvision		2	Transmutation	0	0	1 action	Touch	1	1	1	0	0	8 hours	230					132							
1																													1						1			1	Detect Thoughts		2	Divination	0	0	1 action	Self	1	1	1	0	1	Up to 1 minute	231					134	24	32		44			
																																		1					Digital Phantom		2	Abjuration	1	0	1 action	Self	1	1	1	0	1	Up to 1 hour													7:6
												1																	1									1	Dust Devil		2	Conjuration	0	0	1 action	60 feet	1	1	1	0	1	Up to 1 minute			235						17				
												1																	1		1							1	Earthbind		2	Transmutation	0	0	1 action	300 feet	1	0	0		1	Up to 1 minute			235						17				
1	1											1																	1										Enhance Ability		2	Transmutation	0	0	1 action	Touch	1	1	1	0	1	Up to 1 hour	237					138							
																													1									1	Enlarge/Reduce		2	Transmutation	0	0	1 action	30 feet	1	1	1	0	1	Up to 1 minute	237					138		33		45			
1																															1								Enthrall		2	Enchantment	0	0	1 action	60 feet	1	1	0		0	1 minute	238					139							
																					1																		Find Steed		2	Conjuration	0	0	10 minutes	30 feet	1	1	0		0	Instantaneous	240					141							
	1											1															1												Find Traps		2	Divination	0	0	1 action	120 feet	1	1	0		0	Instantaneous	241					142							
			1																																				Find Vehicle		2	Conjuration	0	0	10 minutes	30 feet	1	1	0		0	8 hours													7:6
												1																											Flame Blade		2	Evocation	0	0	1 bonus action	Self	1	1	1	0	1	Up to 10 minutes	242					143				46			
							1					1																									1	1	Flaming Sphere		2	Conjuration	0	0	1 action	60 feet	1	1	1	0	1	Up to 1 minute	242	26			91	143							
	1																																					1	Gentle Repose		2	Necromancy	0	1	1 action	Touch	1	1	1	0	0	 10 days	245					147							
									1			1																	1	1								1	Gust of Wind		2	Evocation	0	0	1 action	Self (60-foot line)	1	1	1	0	1	Up to 1 minute	248					149	26			48			
1			1									1																											Heat Metal		2	Transmutation	0	0	1 action	60 feet	1	1	1	0	1	Up to 1 minute	250					151				48			
1	1											1	1													1			1		1							1	Hold Person		2	Enchantment	0	0	1 action	60 feet	1	1	1	0	1	Up to 1 minute	251	27			93	152							
1																	1												1		1							1	Invisibility		2	Illusion	0	0	1 action	Touch	1	1	1	0	1	Up to 1 hour	254	27			95	155							
1																													1									1	Knock		2	Transmutation	0	0	1 action	60 feet	1	0	0		0	Instantaneous	254				95	155							
1	1					1						1									1			1			1												Lesser Restoration		2	Abjuration	0	0	1 action	Touch	1	1	0		0	Instantaneous	255	27			95	156							
																													1	1								1	Levitate		2	Transmutation	0	0	1 action	60 feet	1	1	1	0	1	Up to 10 minutes	255				95	156							
1												1															1												Locate Animals or Plants		2	Divination	0	1	1 action	Self	1	1	1	0	0	Instantaneous	256					157							
1	1											1									1						1											1	Locate Object		2	Divination	0	0	1 action	Self	1	1	1	0	1	Up to 10 minutes	256					157							
1																																						1	Magic Mouth		2	Illusion	0	1	1 minute	30 feet	1	1	1	10	0	Until dispelled	257					159		35					
		1									1										1																	1	Magic Weapon		2	Transmutation	0	0	1 bonus action	Touch	1	1	0		1	Up to 1 hour	257				96	159							
																													1									1	Maximilian's Earthen Grasp		2	Transmutation	0	0	1 action	30 feet	1	1	1	0	1	Up to 1 minute			238						20				
																			1																			1	Melf's Acid Arrow	Acid Arrow	2	Evocation	0	0	1 action	90 feet	1	1	1	0	0	Instantaneous	259					114				50			
										1				1															1		1							1	Mirror Image		2	Illusion	0	0	1 action	Self	1	1	0		0	1 minute	260					162	26	35		50			
														1								1				1			1		1							1	Misty Step		2	Conjuration	0	0	1 bonus action	Self	1	0	0		0	Instantaneous	260	28			98	163							
												1										1																	Moonbeam		2	Evocation	0	0	1 action	120 feet	1	1	1	0	1	Up to 1 minute	261					164							
		1																																				1	Nystul's Magic Aura	Arcanist's Magic Aura	2	Illusion	0	0	1 action	Touch	1	1	1	0	0	24 hours	263					119							
										1		1					1										1												Pass without Trace		2	Abjuration	0	0	1 action	Self	1	1	1	0	1	Up to 1 hour	264					164							
1																													1			1			1			1	Phantasmal Force		2	Illusion	0	0	1 action	60 feet	1	1	1	0	1	Up to 1 minute	264						27	36		51			
	1																																						Prayer of Healing		2	Evocation	0	0	10 minutes	30 feet	1	0	0		0	Instantaneous	267	28			98	167							
	1											1									1						1												Protection from Poison		2	Abjuration	0	0	1 action	Touch	1	1	0		0	1 hour	270					170							
1																													1									1	Pyrotechnics		2	Transmutation	0	0	1 action	60 feet	1	1	0		0	Instantaneous			239						21				
				1																											1							1	Ray of Enfeeblement		2	Necromancy	0	0	1 action	60 feet	1	1	0		1	Up to 1 minute	271					171							
																												1										1	Rope Trick		2	Transmutation	0	0	1 action	Touch	1	1	1	0	0	1 hour	272					173							
							1																						1				1					1	Scorching Ray		2	Evocation	0	0	1 action	120 feet	1	1	0		0	Instantaneous	273					174	27			52			
1																													1									1	See Invisibility		2	Divination	0	0	1 action	Self	1	1	1	0	0	1 hour	274					174		36					
1									1																				1		1							1	Shatter		2	Evocation	0	0	1 action	60 feet	1	1	1	0	0	Instantaneous	275				100	176							
1	1														1												1									1			Silence		2	Illusion	0	1	1 action	120 feet	1	1	0		1	Up to 10 minutes	275	29			101	177							
1												1																										1	Skywrite		2	Transmutation	0	1	1 action	Sight	1	1	0		1	Up to 1 hour			240						22		34		
																													1									1	Snilloc's Snowball Swarm		2	Evocation	0	0	1 action	90 feet	1	1	1	0	0	Instantaneous			240						22				
																1		1		1									1		1							1	Spider Climb		2	Transmutation	0	0	1 action	Touch	1	1	1	0	1	Up to 1 hour	277	30			102	179							
								1				1	1					1									1												Spike Growth		2	Transmutation	0	0	1 action	150 feet	1	1	1	0	1	Up to 10 minutes	277					179	27			54			
	1					1					1																												Spiritual Weapon		2	Evocation	0	0	1 bonus action	60 feet	1	1	0		0	1 minute	278	30			102	179							
1					1																								1		1							1	Suggestion		2	Enchantment	0	0	1 action	30 feet	1	0	1	0	1	Up to 8 hours	279	30			102	181							
	1																						1																Warding Bond		2	Abjuration	0	0	1 action	Touch	1	1	1	50	0	1 hour	287	31			105	188							
1												1																	1										Warding Wind		2	Evocation	0	0	1 action	Self	1	0	0		1	Up to 10 minutes			241						23				
																				1									1									1	Web		2	Conjuration	0	0	1 action	60 feet	1	1	1	0	1	Up to 1 hour	287	31			105	189							
1	1																				1		1	1															Zone of Truth		2	Enchantment	0	0	1 action	60 feet	1	1	0		0	10 minutes	289					191		38					
	1			1																					1													1	Animate Dead		3	Necromancy	0	0	1 minute	10 feet	1	1	1	0	0	Instantaneous	212					115		30		40			
																					1		1																Aura of Vitality		3	Evocation	0	0	1 action	Self (30-foot radius)	1	0	0		1	Up to 1 minute	216												
	1					1																		1															Beacon of Hope		3	Abjuration	0	0	1 action	30 feet	1	1	0		1	Up to 1 minute	217	24			84	121							
1	1																								1													1	Bestow Curse		3	Necromancy	0	0	1 action	Touch	1	1	0		1	Up to 1 minute	218					121							
																					1																		Blinding Smite		3	Evocation	0	0	1 bonus action	Self	1	0	0		1	Up to 1 minute	219												
										1																			1			1						1	Blink		3	Transmutation	0	0	1 action	Self	1	1	0		0	1 minute	219					122							
									1			1				1														1									Call Lightning		3	Conjuration	0	0	1 action	120 feet	1	1	0		1	Up to 10 minutes	220					123		31					
1	1																												1						1			1	Clairvoyance		3	Divination	0	0	10 minutes	1 mile	1	1	1	100	1	Up to 10 minutes	222					124							
												1															1												Conjure Animals		3	Conjuration	0	0	1 action	60 feet	1	1	0		1	Up to 1 hour	225					127				42			
																											1												Conjure Barrage		3	Conjuration	0	0	1 action	Self (60-foot cone)	1	1	1	0	0	Instantaneous	225												
																													1									1	Conjure Lesser Demon		3	Conjuration	0	0	1 action	60 feet	1	1	1	0	1	Up to 1 hour													11:2
																													1		1							1	Counterspell		3	Abjuration	0	0	1 reaction	60 feet	0	1	0		0	Instantaneous	228				86								
	1														1						1																		Create Food and Water		3	Conjuration	0	0	1 action	30 feet	1	1	0		0	Instantaneous	229					131				43			
											1										1																		Crusader's Mantle		3	Evocation	0	0	1 action	Self	1	0	0		1	Up to 1 minute	230												
	1						1					1					1				1						1		1								1		Daylight		3	Evocation	0	0	1 action	60 feet	1	1	0		0	1 hour	230					132	24			44			
1	1	1								1		1									1			1					1		1							1	Dispel Magic		3	Abjuration	0	0	1 action	120 feet	1	1	0		0	Instantaneous	234	26			88	135							
																					1																		Elemental Weapon		3	Transmutation	0	0	1 action	Touch	1	1	0		1	Up to 1 hour	237												
												1																	1									1	Erupting Earth		3	Transmutation	0	0	1 action	120 feet	1	1	1	0	0	Instantaneous			235						17				
1																													1		1							1	Fear		3	Illusion	0	0	1 action	Self (30-foot cone)	1	1	1	0	1	Up to 1 minute	239					141				46			
1	1											1																								1		1	Feign Death		3	Necromancy	0	1	1 action	Touch	1	1	1	0	0	1 hour	240												
							1																						1				1					1	Fireball		3	Evocation	0	0	1 action	150 feet	1	1	1	0	0	Instantaneous	241	26			90	142							
												1															1		1									1	Flame Arrows		3	Transmutation	0	0	1 action	Touch	1	1	0		1	Up to 1 hour			236						18				
																													1		1							1	Fly		3	Transmutation	0	0	1 action	Touch	1	1	1	0	1	Up to 10 minutes	243	26			91	144							
																				1									1		1							1	Gaseous Form		3	Transmutation	0	0	1 action	Touch	1	1	1	0	1	Up to 1 hour	244					146	25	33		47			
1	1																											1										1	Glyph of Warding		3	Abjuration	0	0	1 hour	Touch	1	1	1	200	0	Until dispelled or triggered	245					147		34		47			
																	1									1			1									1	Haste		3	Transmutation	0	0	1 action	30 feet	1	1	1	0	1	Up to 1 minute	250				93	151							
																																		1					Haywire		3	Enchantment	1	0	1 action	90 feet	1	1	0		1	Up to 1 minute													7:7
																															1								Hunger of Hadar		3	Conjuration	0	0	1 action	150 feet	1	1	1	0	1	Up to 1 minute	251												
1																													1		1							1	Hypnotic Pattern		3	Illusion	0	0	1 action	120 feet	0	1	1	0	1	Up to 1 minute	252					153				49			
																																		1					Invisible to Cameras		3	Illusion	1	0	1 action	10 feet	1	1	1	0	1	Up to 1 minute													7:7
1																																						1	Leomund's Tiny Hut	Tiny Hut	3	Evocation	0	1	1 minute	Self (10-foot radius hemisphere)	1	1	1	0	0	8 hours	255					185							
																											1												Lightning Arrow		3	Transmutation	0	0	1 bonus action	Self	1	1	0		1	Up to 1 minute	255												
			1															1											1									1	Lightning Bolt		3	Evocation	0	0	1 action	Self (100-foot line)	1	1	1	0	0	Instantaneous	255	27			95	156							
	1	1																			1										1							1	Magic Circle		3	Abjuration	0	0	1 minute	10 feet	1	1	1	100	0	1 hour	256					158							
1																													1		1							1	Major Image		3	Illusion	0	0	1 action	120 feet	1	1	1	0	1	Up to 10 minutes	258				96	159							
	1																																						Mass Healing Word		3	Evocation	0	0	1 bonus action	60 feet	1	0	0		0	Instantaneous	258	28			97	160							
	1											1						1																					Meld into Stone		3	Transmutation	0	1	1 action	Touch	1	1	0		0	8 hours	259					161				49			
																													1									1	Melf's Minute Meteors		3	Evocation	0	0	1 action	Self	1	1	1	0	1	Up to 10 minutes			238						20				
1					1																						1											1	Nondetection		3	Abjuration	0	0	1 action	Touch	1	1	1	25	0	8 hours	263					164				51			
																																						1	Phantom Steed		3	Illusion	0	1	1 minute	30 feet	1	1	0		0	1 hour	265					165							
1								1				1				1						1					1					1							Plant Growth		3	Transmutation	0	0	1 action / 8 hours	150 feet	1	1	0		0	Instantaneous	266					166	27			51			
			1																																				Protection from Ballistics		3	Abjuration	0	0	1 action	Touch	1	1	1	0	1	Up to 10 minutes													7:8
	1											1			1							1				1	1		1									1	Protection from Energy		3	Abjuration	0	0	1 action	Touch	1	1	0		1	Up to 1 hour	270	28			99	170							
	1																				1										1							1	Remove Curse		3	Abjuration	0	0	1 action	Touch	1	1	0		0	Instantaneous	271				99	172							
	1					1															1																		Revivify		3	Conjuration	0	0	1 action	Touch	1	1	1	300	0	Instantaneous	272	29			100	173							
1	1																																		1			1	Sending		3	Evocation	0	0	1 action	Unlimited	1	1	1	0	0	1 round	274					175	27	37		53			
