Component	Value	Spell(s)	Consumed?	Notes
Phosphorus	-	Conjure Elemental (Fire),  Dancing Lights,  Fire Shield,  Symbol,  Wall of Fire	N	
Pickled Octopus Tentacle	-	Hunger of Hadar	N	
Pitch, a drop	-	Darkness	(DM's Discretion)	
Platinum Rings, two	50 gp each	Warding Bond	N	Caster and target must wear the rings for duration
Platinum Sword, miniature, with grip and pommel of copper and zinc	250 gp	Mordenkainen's Sword	N	
Polished Marble Stone	5 gp	Mordenkainen's Magnificent Mansion	N	
Pork Rind or other fat	-	Grease,  Insect Plague	(DM's Discretion)	
Prayer Wheel	-	Regenerate	N	
Quartz	-	Wall of Ice	N	
Quill plucked from a sleeping bird	-	Dream	N	
Quiver, with at least one piece of ammunition	-	Swift Quiver	N	
Reed	-	Water Breathing	N	May substitute a piece of straw.
Reliquary containing a Sacred Relic	1,000 gp	Holy Aura	N	
Rhubarb Leaf, powdered	-	Melf's Acid Arrow	N	
Rose petals	-	Sleep	N	
Rotten Egg		Stinking Cloud	N	
Ruby (as dust)	50 gp	Continual Flame	Y	
Ruby (as dust)	1,000 gp	Forbiddance	(DM's Discretion)	
Ruby (as dust)	1,500 gp	Forcecage	N	
Ruby (as dust)	1,500 gp	Simulacrum	Y	
Sacrificial Offering appropriate to deity	25 gp	Divination	Y	
Salt	-	Comprehend Languages, Gentle Repose	N	
Sand	-	Conjure Elemental (Water),  Destroy Water,  Dream,  Sleep	N	
Sapphire	1,000 gp	Drawmij's Instant Summons	Y	Sapphire is crushed to activate, consuming it at that time, not upon casting.
Sesame Seeds	-	Passwall	N	
Shamrock	-	Shillelagh	N	
Silk Square	-	Nystul's Magic Aura	N	
Silver and Iron, powdered mixture	-	Dispel Good,  Protection from Evil/Good	[varies, check spell description]	
Silver and Iron, powdered mixture	100 gp	Magic Circle	Y	
Silver Bar, ornately carved	100 gp	Astral Projection	Y	
Silver Mirror, small	-	Sanctuary	N	
Silver Pins (3)	-	Chain Lightning	N	
Silver powder	-	See Invisibility	(DM's Discretion)	
Silver Rings, as a linked pair	-	Telepathy	N	
Silver Rod	10 gp	Guards and Wards	N	
Silver Spoon, tiny	5 gp	Mordenkainen's Magnificent Mansion	N	
Silver Whistle	-	Mordenkainen's Faithful Hound	N	
Skunk Cabbage Leaves	-	Stinking Cloud	N	
Snakeskin glove	-	Bigby's Hand	N	
Snaketongue	-	Mass Suggestion,  Suggestion	N	
Snow, enough to make a life-size copy of the target creature	-	Simulacrum	Y	May substitute ice
Soil mixture in a small bag	-	Move Earth	N	Clay, loam, sand, etc.
Soot	-	Comprehend Languages	N	
Spheres of glass, crystal, or mineral	-	Feeblemind	N	Makes your target... lose their marbles.
Spider	-	Spider Climb	N	
Spiderweb	-	Web	(DM's Discretion)	
Statue of the caster, carved from ivory and decorated with gems	1,500 gp	Contingency	N	
Stem of a Thorny Plant	-	Thorn Whip	N	
Stone	-	Earthquake,  Hallucinatory Terrain	N	
String	-	Unseen Servant	N	
Sugar	-	Insect Plague	(DM's Discretion)	
Sulfur	-	Conjure Elemental (Fire),  Delayed Blast Fireball,  Fireball,  Flame Strike	N	
Sumac Leaf	-	Flame Blade	N	
Sunstone	-	Sunburst	N	"Sunstone" here likely refers to the transparent mineral that may have had polarizing qualities, allowing sailors to locate the sun on completely overcast days.
Sweet Oil, a drop	-	Mass Suggestion,  Suggestion	(DM's Discretion)	
Talcum powder	-	See Invisibility	(DM's Discretion)	
Tallow	-	Flaming Sphere	N	
Tarts	-	Tasha's Hideous Laughter	N	The spell does not consume the tarts, but any hungry creature may consume them after casting.
Tentacle of giant octopus or giant squid	-	Evard's Black Tentacles	N	
Thorns, seven	-	Spike Growth,  Wall of Thorns	N	Spike Growth: May substitute seven sharpened sticks. Wall of Thorns: Does not need to be seven exactly.
Thread	-	Mordenkainen's Faithful Hound	N	
TINY PIECE OF TARGET MATTER	-	Creation	N	Obviously, this is highly variable.
Twig	-	Hallucinatory Terrain	N	
Twig from a tree that has been struck by lightning	-	Witch Bolt	N	
Umber Hulk Blood	-	Guards and Wards	N	
Vessel to contain a Medium-sized creature	2,000 gp	Clone	N	Urn, sarcophagus. coffin, etc.
Water	-	Armor of Agathys,  Conjure Elemental (Water),  Control Water,  Create Water,  Flesh to Stone,  Ice Storm,  Sleet Storm	N	
Wire of fine silver	-	Alarm	N	
Wisp of Smoke	-	Gaseous Form,  True Polymorph	Y	
Wood	-	Unseen Servant	N	
Wychwood	-	Dancing Lights	N	
Yew Leaf	-	Detect Poison and Disease	N	
